127.0.0.1 - - [10/Jan/2025:16:07:07 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 23831
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:26 +0900] "GET /hurdles/assets/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:33 +0900] "GET /hurdles/auth/login.do HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:42 +0900] "POST /hurdles/auth/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:42 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 24784
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:42 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:07:42 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:13 +0900] "GET /hurdles/owner/main.do HTTP/1.1" 500 1828
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:29 +0900] "GET /hurdles/auth/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:29 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 23831
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:29 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:30 +0900] "GET /hurdles/auth/login.do HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:38 +0900] "POST /hurdles/auth/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:38 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 24784
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:38 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:38 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:08:42 +0900] "GET /hurdles/owner/main.do HTTP/1.1" 200 15639
0:0:0:0:0:0:0:1 - - [10/Jan/2025:16:10:02 +0900] "GET /hurdles/owner/ownerReservationList.do HTTP/1.1" 200 13987
